Optical constants n+ik of olivine (z-orientation, E||z) of natural single crystal olivine
from the University of Freiberg 

A(1/cm)	n.z	k.z
0	2.468584	0
1.221	2.46859	0.000078
2.441	2.468611	0.000156
3.662	2.468645	0.000234
4.883	2.468693	0.000312
6.103	2.468754	0.000391
7.324	2.468829	0.000469
8.545	2.468918	0.000547
9.766	2.46902	0.000626
10.986	2.469137	0.000704
12.207	2.469267	0.000783
13.428	2.46941	0.000861
14.648	2.469568	0.00094
15.869	2.469739	0.001019
17.09	2.469924	0.001098
18.31	2.470123	0.001178
19.531	2.470335	0.001257
20.752	2.470562	0.001337
21.973	2.470803	0.001416
23.193	2.471057	0.001496
24.414	2.471326	0.001577
25.635	2.471608	0.001657
26.855	2.471905	0.001738
28.076	2.472216	0.001819
29.297	2.472541	0.0019
30.517	2.47288	0.001982
31.738	2.473233	0.002063
32.959	2.473601	0.002146
34.18	2.473983	0.002228
35.4	2.474379	0.002311
36.621	2.47479	0.002394
37.842	2.475216	0.002477
39.062	2.475656	0.002561
40.283	2.47611	0.002645
41.504	2.47658	0.00273
42.724	2.477064	0.002815
43.945	2.477563	0.002901
45.166	2.478077	0.002987
46.387	2.478606	0.003073
47.607	2.47915	0.00316
48.828	2.47971	0.003247
50.049	2.480284	0.003335
51.269	2.480874	0.003423
52.49	2.48148	0.003512
53.711	2.482101	0.003602
54.931	2.482737	0.003692
56.152	2.483389	0.003782
57.373	2.484058	0.003873
58.594	2.484741	0.003965
59.814	2.485442	0.004058
61.035	2.486158	0.004151
62.256	2.48689	0.004244
63.476	2.487639	0.004339
64.697	2.488405	0.004434
65.918	2.489187	0.00453
67.138	2.489985	0.004626
68.359	2.490801	0.004724
69.58	2.491633	0.004822
70.801	2.492483	0.004921
72.021	2.49335	0.005021
73.242	2.494235	0.005121
74.463	2.495136	0.005223
75.683	2.496056	0.005325
76.904	2.496994	0.005429
78.125	2.497949	0.005533
79.345	2.498923	0.005638
80.566	2.499915	0.005745
81.787	2.500926	0.005852
83.008	2.501955	0.00596
84.228	2.503004	0.00607
85.449	2.504071	0.00618
86.67	2.505157	0.006292
87.89	2.506263	0.006404
89.111	2.507389	0.006518
90.332	2.508535	0.006634
91.552	2.5097	0.00675
92.773	2.510886	0.006868
93.994	2.512093	0.006987
95.215	2.51332	0.007107
96.435	2.514568	0.007229
97.656	2.515837	0.007352
98.877	2.517128	0.007476
100.097	2.51844	0.007602
101.318	2.519774	0.00773
102.539	2.521131	0.007859
103.759	2.522509	0.00799
104.98	2.523911	0.008122
106.201	2.525336	0.008256
107.422	2.526783	0.008392
108.642	2.528255	0.008529
109.863	2.52975	0.008669
111.084	2.53127	0.00881
